id,title,price,sold_quantity
MLM579065573,Samsung Galaxy Grand Prime Plus + G532 Flash Frontal,3899,0
MLM613495020,Samsung Galaxy Grand Prime Pro Dual Sim Camara 8mp Mem. 16gb,3749,0
MLM612909637,Samsung Galaxy Grand Prime Pro 2018 Quadcore 16gb 8+5mpx 4g,3649,0
MLM574683243,Telefono Celular Gran Prime,3600,0
MLM619976231,Gran Prime Pro Duos Liberado Samsung + Regalo Msi,3550,0
MLM588999027,Samsung Galaxy Grand  Prime De 8 Gb Nuevo Telcel En Caja,3499,0
MLM620006396,Telefono Samsung Galaxy Grand Prime G532m Telcel Unefon Movi,3499,3
MLM611078481,Samsung Galaxy Grand Prime Pro 2018 8+5mpx 1.5 Ram,3499,2
MLM602404062,Samsung Galaxy Grand Prime Plus 8gb Negro Desbloqueado,3499,0
MLM557977479,Samsung Grand Prime Dorado Nuevo,3499,0
MLM591818735,Samsung Grand Prime + M532,3300,0
MLM623814544,Samsung Galaxy Grand Prime Plus Android 6 Cam. 8+5 Mem. 16gb,3299,0
MLM590029339,Celular Samsung Galaxy Grand Prime Plus Meses Sin Intereses,3292,3
MLM622544951,Grand Prime Pro Doble Sim 16 Gb 8mp Desbloqueado Sm-j250,3250,0
MLM619881522,Samsung Gran Prime Pro Doble Sim Liberado Msi,3200,0
MLM619976213,Gran Prime Pro Duos Liberado + Regalo,3200,0
MLM609990298,Samsung Lte Galaxy Grand Prime+ Dorado,3200,0
MLM586075834,"Celular Samsung Galaxy Grand Prime Plus Sm-g532m, 4g,",3199,6
MLM577727145,Samsung Galaxy Grand Prime Pro 2018 Quadcore 16gb 8+5mpx 4g,3199,36
MLM618460891,Samsung Galaxy Grand Prime Plus Plata O Negro Movistar,3199,0
MLM604212873,Samsung Galaxy J2 Prime 4g Camara 8+5mp Memoria 8+1.5gb ,3149,0
MLM595565084,Samsung Galaxy Grand Prime Plus,3100,0
MLM601743387,Samsung Galaxy Grand Prime Plus 2018 G532 4g Lte 16gb,3098,8
MLM592143269,Vendo Celular Samsung Modelo Sm-g531h,3000,0
MLM560268367,Galaxy Prime Nuevo Sellado Telcel,3000,0
MLM586859484,Celular Sansumg  Galaxi Grand Prime Plus,3000,0
MLM582923856,Samsung Galaxy Gran Prime M-g531h,2999.99,1
MLM598747009,Samsung Grand Prime Plus Libres Todos Los Colores,2999,6
MLM569378468,"Celulares Baratos Samsung Grand Prime G531, 3g, Android",2999,40
MLM594705825,Celular Samsung Galaxy Grand Prime Plus Rosa G532. Envio Gra,2998,0
MLM612321369,Celular Samsung Galaxy Grand Prime Plus. Envio Gratis,2996,2
MLM586075764,"Samsung Galaxy Grand Prime Nuevo,liberado. Rosa, Negro,plata",2990,0
MLM591999182,"Celular Samsung Galaxy Grand Prime Plus, Negro, Dorado, Rosa",2987,4
MLM620161590,"Celular Samsung Grand Prime+ 5pul,8mpx.5mpx,8gb,1.5gb",2964,0
MLM590339572,Celular Samsung Galaxy Grand Prime Plus  + Cristal Templado ,2950,50
MLM610248568,Celular Telcel Grand Prime Plus ,2950,11
MLM619881407,Gran Prime Pro Doble Sim Liberado,2950,1
MLM599256555,Galaxy Gran Prime  Plus   Doble Sim 12 Meses + Regalos,2900,7
MLM599829123,Samsung Grand Prime + Sm-g532m,2900,0
MLM585487814,Galaxy J2 Prime Grand Prime Plus Dual G532 4g 5pg 8gb Meses,2899,32
MLM599729271,Samsung Galaxy J2 Grand Prime Plus Dual Sim Nuevos Libres,2899,7
MLM599729606,Samsung Galaxy J2 Grand Prime Plus Dual Sim Nuevos Dorado,2899,6
MLM594600869,Samsung Galaxy Grand Prime Plus Android 6 Camara 8+5 Mem. 8g,2899,1
MLM599729356,Samsung Galaxy J2 Grand Prime Plus Dual Sim Nuevos Negro,2899,5
MLM599729447,Samsung Galaxy J2 Grand Prime Plus Dual Sim Nuevos Plata,2899,0
MLM595826617,Celular Samsung Galaxy Grand Prime +plus+ Liberados,2890,7
MLM619975778,Galaxy Grand Prime Plus Doble Sim Samsung + Regalos Msi,2850,0
MLM610690329,Grand Prime Plus  (dual Sim) + Regalos Minibocina Y Cristal,2800,15
MLM611664083,Samsung Galaxy Prime Plus (acepto Ofertas),2800,0
MLM586936557,Samsung Grand Prime Plus Rosa Nuevo 1 Año De Garantía ,2800,0
MLM609481789,Samsung Grand Prime Plus Libre,2799,0
MLM585198379,Galaxy Gran Prime  Plus   Doble Sim Libre + Cristal Templado,2750,201
MLM590362470, Samsung Galaxy Grand Prime Plus Doble Sim + Cristal Templad,2750,25
MLM590340962,Celular Samsung Galaxy Grand Prime Plus Doble Sim + Regalos,2750,5
MLM599250785,Galaxy Grand Prime Plus Doble Sim + Cristal Templado + Bocin,2750,1
MLM619879022,Samsung Gran Prime Plus Doble Sim Liberado  Oferta Msi,2750,0
MLM599829147,Samsung Grand Prime Plus Dual Sim Camara 8mp + Regalos,2749,0
MLM561756759,Celular Samsung Grand Prime,2700,0
MLM594698752,Celular Samsung Galaxy Grand Prime Plus+8gb+quad Core G532m,2699,9
MLM599729081,Samsung Galaxy J2 Grand Prime Plus Dual Sim Libres,2699,2
MLM599729859,Samsung Galaxy J2 Grand Prime Plus Dual Sim Dorado,2699,2
MLM599729909,Samsung Galaxy J2 Grand Prime Plus Dual Sim Plata,2699,0
MLM599729994,Samsung Galaxy J2 Grand Prime Plus Dual Sim Negro,2699,0
MLM613331052,Samsung Grand Prime Plus Nuevos,2699,0
MLM605567320,Teléfono Celular Samsung Grand Prime +plus Libre C/cristal T,2678,0
MLM570640786,Galaxy J2 Prime Grand Prime Plus Dual G532 Lte 5pg 8gb Nuevo,2670,669
MLM620916821,Samsung Galaxy J2 Grand Prime Plus + Sm-g532m Nuevo  Msi,2669,1
MLM609113201,Galaxy  Prime Grand Prime Plus 4g 5pg 8gb ,2659,0
MLM599825025,Samsung Galaxy Grand Prime Plus Nuevo,2649,0
MLM614233039,Samsung Galaxy Grand Prime Plus Nuevo Liberado Envío Gratis!,2599,0
MLM619878960,Gran Prime Plus Doble Sim Liberado Sin Logos  Oferta,2550,7
MLM555527167,Samsung Galaxy Grand Prime,2500,0
MLM599173101,Galaxy Grand Prime Plus Sm-g532m.,2500,0
MLM602775100,Teléfono Samsung Grand Prime Dorado,2500,0
MLM600533582, Galaxy Grand Prime Plus! Negro! ,2500,0
MLM615885238,Grand Prime Plus Telcel,2499.99,0
MLM551427283,Samsung Galaxy Grand Prime Telcel Blanco Sm-g530h,2499,0
MLM599553253,Samsung  J2 Prime Plus Liberado,2400,1
MLM619136512,Samsung Galaxy Grand Prime Plus Plata At&t Impecable! 9.5,2300,0
MLM605930793,Samsung Galaxy Gran Prime+,2300,0
MLM597659342,Samsung Grand Primer Plus,2300,0
MLM597640283,Samsung Grand Prime Plus Color Negro Liberado,2300,0
MLM619183487,Samsung Grand Prime Plus Totalmente Negro Ed Especial,2299,1
MLM608423583,Samsung Galaxy Grand Prime 1gb Ram Dual 8gb 8mp Liberado,2199,4
MLM568361781,Samsung Grand Prime Dorado,2150,0
MLM597986471,Samsung Galaxy Grand Prime Plus,2150,0
MLM592937362,"Samsung Galaxy Grand Prime Plus, Iusa, At&t, Estetica 9.8.",2099,0
MLM616249972,Samsung Galaxy Grand Prime,2000,0
MLM559294258,Samsung Galaxy Sm-g530h Usado Buen Estado,2000,0
MLM560254476,Samsumg Galaxy Grand Prime,2000,0
MLM588083211,Celular Grand Prime Plus,2000,0
MLM608847785,Gran Prime,2000,0
MLM566803939,Galaxy Grand Prime,2000,0
MLM606466185,Samsung Galaxy Grand Prime Plus 8gb (negro),2000,0
MLM562128655,Samsung Galaxy Grand Prime,2000,0
MLM594584402,Vendo Celular Samsung Galaxi Gran Prime Plus ,2000,0
MLM592057585,Samsung Grand Prime Plus.,2000,0
MLM602503781,Celular Samsung Grand Prime Plus ,2000,0
MLM593068119,"Samsung Galaxy Grand Prime Plus, Iusa, At&t, Estetica 9.8.",1999,0
MLM579394809,Remato Celular Grand Prime Dorado,1999,0
MLM595453476,Samsung J3 Grand Prime Sin Display Ni Touch Sm J320m Reparar,1999,0
MLM586857569,Samsung Grand Prime Plus Rosa Nuevi,1900,0
MLM567827157,Samsung Grand Prime,1900,0
MLM615955301,Samsung Grand Prime Seminuevo White,1899.99,0
MLM613862976,Samsung Grand Prime+ Sm-g532m Dorado Microplaza 4627,1899,1
MLM611650736,Samsung Grand Prime+ Sm-g532 Dorado Libre Microplaza 6540,1899,0
MLM623680209,Galaxy Grand Prime Plus Sm-g532m Negro Excelent Estado Libre,1899,1
MLM611650310,Samsung Grand Prime+ Sm-g532m Negro Libre Microplaza 0330,1899,0
MLM622225038,Samsung Grand Prime+ Sm-g532m Azul Microplaza 2922,1899,0
MLM613863623,Grand Prime Plus Plata G532m Celular Samsung Galaxy Unefon,1890,0
MLM596015413,Celular Samsung Grame Prime Plusdorado,1890,0
MLM619997695,Galaxy Grand Prime Plus At&t Mexicano,1850,0
MLM579374831,Grand Prime Cambio,1800,0
MLM606578939,Samsung Galaxy Grand Prime,1800,0
