title,price,sold_quantity
Ipad Air Con Funda A1474,3108,0
Tableta Apple Ipad Air 16gb Version Wifi Ios 10,3190,2
 Ipad Air 16gb Space Gray Con Smart Cover,3199,0
Targus Versatype Funda Teclado 4 En 1 Ipad Pro 9.7 Air 1 Y 2,3200,2
Ipad Air  De 16 Gb Como Nueva Estética De 10,3200,1
Ipad Air Md785ll/a De 16 Gb ,3200,0
Apple Ipad Air A1474 Negra 16gb No Subastas Remate Original,3200,0
Ipad Air 16gb Poco Uso.,3200,0
Remato Ipad Air - Space Gray,3200,0
Ipad Air 16 Gb,3200,0
Ipad Air 1 De 16 Gb,3200,0
Tableta Ipad Air 1 Modelo A1474 Blanca + Envio Gratis,3299,1
Ipad Air  Space Gray 16gb Wifi,3300,1
Ipad Air De 16gb Grande,3300,0
Ipad Air 2 128gb Con Icloud,3300,0
"Ipad Air 1, 16gb, Estetica 93,(solo Ipad) *queretaro",3300,0
"Ipad Air, 16 Gb, A1474, Negra, Estetica 9",3399,0
Se Vende Ipad Air De 16 8.5 De Estadistica,3400,0
Ipad Air 16 Gb,3400,0
Ipad Air 64gb,3400,0
Ipad Air Wifi 16gb Silver,3499,0
"Ipad Air A1474, 16gb Space Gray, En Caja, Excelente Estado",3499,1
Ipad Air 32gb Wifi. Space Gray. Touch Fisurado.,3499,0
Ipad Air Cambio,3500,0
"Ipad Air 1 16 Gb, Excelentes Condiciones A Un Super Precio",3500,0
Ipad Air 16gb Buen Estado,3500,0
Ipad Air 16gb ,3500,0
Ipad Air 16g,3500,0
Ipad Air 2 128 Gb Para Refacciones,3500,0
Ipad Air 64gb,3500,0
Ipad Air 16 Gb Modelo A1474 Wi-fi,3500,0
Ipad Air 32 Gb,3500,0
Apple Ipad Air Retina 16 Gb Md785e/a,3500,0
Ipad Air 16 Gb,3500,0
Ipad Air 16 Gb,3500,0
Ipad 16gb Blanca,3500,0
Vendo/cambio Ipad Air 16 Gb,3500,0
Ipad Air Negra 16 Gb,3500,0
"Ipad Air, 16 Gb, Gris Espacial",3550,0
Lcd Para Ipad Air,3557.23,0
Ipad Air,3599,0
Ipad Air 1 De 16 Gb Como Nueva Estética De 10,3600,0
"Ipad Air 1, 32gb, Excelente Estado",3600,0
Ipad 16 Gb Gris Espacial Excelentes Condiciones,3600,0
Ipad Air 2,3700,0
Ipad Air 16 Gb,3700,0
Ipad Air,3700,0
"Ipad Air 1, 16 Gb, Spáce Grey",3700,0
Ipad Air 16 Gb,3750,0
"Ipad Air, 16 Gb, A1474, Negra, Estetica 9",3799,0
Ipad Air 16g,3800,0
Ipad Air,3800,0
Ipad Air 2. 16gb,3800,0
Ipad Air 16gb Venta O Cambio Diferencia A Mi Favor,3800,0
Ipad Air 16gb (con Funda/teclado),3800,0
Ipad Air 16 Gb Space Gray,3800,0
Soporte De Piso C/cerradura Startech.com P/ipad Altura Fija,3804.02,1
"Ipad Air A1474, 16gb Space Gray, En Caja, Excelente Estado",3899,0
Ipad Air 32 Gb Perfecto Funcionamiento Caja Original,3899,0
"Apple Ipad Air 2 64 Gb, Wi-fi, 9.7 Pulgadas",3900,0
Ipad Air. De 32 Gb. Color Blanco.,3900,0
Ipad Air 1 16 Gb Con Todos Sus Accesorios Como Nueva!!!,3900,0
Ipad Air 16 Gb Blanca,3900,0
Ipad Air  64 Gb,3900,0
Ipad Air,3900,0
Ipad Air 16gb Cellular,3920,0
Ipad Air 32g Space Gray,3950,0
Ipad Air,3999,0
Ipad Air ,3999,0
"Ipad Air 32gb, A1474, Silver, Estetica 9",3999,1
Ipad Air 16 Gb ,3999,0
Ipad Air 32 Gb,3999,0
Ipad Air,3999,0
