title,price,sold_quantity
Iphone 4s Apple,600,0
Iphon 4s,600,0
Iphone 4 S 8 Gb,600,0
Iphone 4s,600,0
"Iphone 4s Para Refacciones,venta O Cambio",600,0
Vendo Iphone 4s Para Piezas De Refacciones 32g,600,0
Iphone 4s Para Refacciones,610,0
Iphone 4s 16gb,650,1
Iphone 4s Para Refacciones,699,0
Iphone 4s 8gb Estetica De 9 Compañia Att Unefon Iusacell,700,0
Vendo Iphone Para Piezas,700,0
Iphone 4s 16gb Sprint ,700,0
Cambio Vendo Excelente Iphone 4s 8gb,700,0
Iphone 4s 16gb Movistar Guatemala,700,0
Iphone 4s 8gb Telcel,700,0
Iphone 4s De 16gb (leer Descripción),700,0
Iphone 4s 16 Gb Usado!,700,0
Iphone 4s,700,0
Iphone 4s 16gb,700,0
Iphone 4s Detalle Leer Descripcion,700,0
Iphone 4 S  Para Refacciones,700,0
"Iphone 4s,para Piezas O Refacciones Envio Gratis",750,0
Iphone 4s 32 Gb Usado $790,790,0
Iphone 4s 16 Gb Refacciones,799,0
Vendo Iphone 4s Digital Buen Estado De 16 Gb Color Blanco,800,5
Iphone 4s Con Detalle,800,0
Iphone 4s 16gb Con Bateria Nueva Solo Un Poco Estrellado.,800,0
Iphone 4s Usado,800,0
Remate De Iphones,800,3
Iphone 4s Para Reparar O Para Partes,800,0
Iphone 4s +cargador+2 Cables+dock Station+1 Iphone Piezas,800,0
Iphone 4s 16gb At&t,800,0
Iphone 4s Liberado,800,0
Iphone 4s 16gb Liberado Botón De Encendido Atascado,800,0
Iphone 4s ,800,0
Iphone 4s,800,0
Iphone 4s 8gb Telcel - Para Reparar O Refacciones,800,0
Iphone 4s,800,0
Iphone 4s  ((para Refacciones O Reparación )),800,0
Iphone 4s Con Tarjeta Dañada,800,0
Iphone 4s Completo O X Partes,800,0
Iphone 4s 32gb Refacciones,800,0
Iphone 4s A1387 Liberado Para Piezas/refacciones,800,0
Iphone 4s Blanco 16gb,800,0
Iphone 4s Estética De 10 At&t Usa,800,0
Iphone 4s Negro,800,0
Iphone 4s,820,0
Iphone 4s,850,0
Iphone 4s,850,0
2 Iphone 4s Para Reparar O Piezas Uno Con Cero Cuentas,850,0
Iphone 4s,850,0
Iphone 4s Liberado Color Negro 8gb De Memoria Urge,850,0
Iphone 4s De 32 Gb,890,0
Sin Detalles | Iphone 4 S 16 Gb  | Sin Icloud,900,0
Iphone 4s Blanco 32gb,900,0
S3 Y Iphone 4s Para Piezas,900,0
Iphone 4s 8gb,900,0
Iphone 4s,900,0
"Iphone 4s, 16gb - Model A1387",900,0
"I Phone 4s 32gb  $1,000 !!!!!!",900,0
Teléfono Celular Iphone 4s Con Detalle En Pila,900,0
Celular Iphone 4s Sin Detalles,900,0
Iphone 4s,900,0
Iphone 4s,900,0
Apple Iphone 4s 16 Gb,900,0
Iphone 4s De 16gb,900,0
Iphone 4s,900,0
Iphone 4s En Buen Estado,900,0
Iphone 4s 16 Gb,900,0
Iphone 4s Negro,950,0
Iphone 4s - Blanco - 8gb,950,0
"Iphone 4s, 16gb, Iusacell Estetica De 9.5, Sin Icloud",950,0
Iphone 4s 16 Gb,950,0
Iphone4s,950,0
