title,price,sold_quantity
Iphohe 8 64gb 2 Piezas Gris Y Plata,27000,0
Iphone 8 64 Gb Negro + Ipad 5ta Generación 32gb Grisespacial,25000,0
Iphone 8 Plus Con Garantía,24999,0
Vendo Iphone 8 Plus,22400,0
Iphone 8,22000,0
Nuevo Iphone 8 64gb Desbloqueado Envío Gratis,22000,0
Iphone 8 Plus Rojo Edicion Especial Mas Airpods Nuevos,21999,0
Apple Iphone 8 plus 14 cm 64 gb Desbloqueado Rojos,21499,0
Iphone X Nuevo 64gb,21000,0
Apple Iphone 8 Plus Silver 64gb ,20999,0
Apple Iphone 8 Plus Silver 64gb ,20999,0
Apple Iphone 8 Plus Silver 64gb ,20999,0
Apple Iphone 8 Plus Silver 64gb ,20999,0
Iphone 8 Plus 64gb,20349,0
Iphone 8 Plus Completo Garantía Caja Y Accesorios,20000,0
Iphone 6 32gb Y Iphone 8 De 64 Gb,20000,0
Iphone 8,20000,0
"Iphone 8 Plus, (solo Tuvo Un Primer Uso)",19999.99,0
Iphone 8 Plus 64gb Space Gray  ¿,19996.54,0
Apple Iphone 8 64 Gb Telcel Sellado Nuevo,19980,0
Apple Iphone 8 64 Gb Telcel Sellado Nacional,19500,0
Apple Iphone 8+ Plus 64 Gb,19500,0
Apple Iphone 8 64 Gb Telcel Sellado Nacional,19350,0
Iphone 8 Plus 64 Gb,19200,0
Phone 8 Plus,19000,0
Iphone 8 Plus Apple Care + Switch Up (ishop Mixup),19000,0
Iphone 8 Normal 64g De Nextel Original Nuevo,19000,0
"Iphone 8+, Negro Espacial.",19000,0
Iphone 8 Dorado Nuevo,19000,0
Iphone 8 Plus 64gb Nuevo,18999,23
Iphone 8 64 Gb Rojo. Entrega Inmediata,18999,0
"Iphone 8 Gold Liberado, Nuevo 64 Gb Envio Gratis",18999,0
Iphone 8plus 64gb + Apple Watch Mj2x2ll/a,18999,0
Apple Iphone 8 Plus 64gb Nuevo Libre Y Sellado,18950,2
Iphone 8 Plus 64gb,18900,0
Iphone 8 Plus Iusacell,18900,0
Iphone 8 Plus 64gb Nuevo / Libre De Fábrica,18700,0
Iphone 8 Plus Space Gray Nuevo Caja Sellada Envío Gratis,18600,0
Nuevo Iphone 8 Plus 64gb Desbloqueado !!,18599,0
Iphone 8 Plus Nuevo Sellado 64gb Libre,18500,0
Iphone 8 Plus Nuevo Garantía 1 Año!,18500,0
Iphone 8 Plus 64gb Att,18500,0
Iphone 8 Plus 64gb,18500,0
Iphone 8 Plus De 64 Gb Totalmente Sellado Y Libre De Fabrica,18500,0
Iphone 8 Plus,18500,0
"Iphone 8 Plus 64 Gb, Inlcuye:",18500,0
Iphone 8 Plus De 64 Gb,18500,0
Apple Iphone 8 64gb Telcel Nuevo (meses Sin Intereses),18499,0
Apple Iphone 8 Silver 64gb ,18499,0
Iphone 8 Plus Rojo Edicion Especial Nuevo Sellado En Su Caja,18499,0
Apple Iphone 8 Silver 64gb ,18499,0
Apple Iphone 8 Silver 64gb ,18499,0
Iphone 8 Plus 64gb 4g Lte 12mp Nuevo Regalo Gratis,18470,0
Apple Iphone 8 Plus 64gb Nuevos Liberados Originales A Msi,18399,0
Apple Iphone 8 Plus Liberado 64gb Silver  Plata,18399,0
