id,title,price,sold_quantity
MLM594414991,Motorola Xt1641 Moto G4 Plus ,5199,0
MLM577634464,Moto G4 Plus Negro Octa Core 32gb,5000,0
MLM573537798,Moto G4 Plus Cristal Templado Y Con Turbo Cargador ,5000,0
MLM568778617,"Moto G4 Plus, Con Caja & Cargador Turbo",5000,0
MLM606794240,Motorola G4 Plus Android 6.0 Mem 32+2gb Cam 16+5 Mpx Huella,4999,0
MLM562153539,Moto G4 Plus,4999,0
MLM587015844,Motorola Moto G4 Plus Dual Sim Liberado 32gb Super Precio!,4999,0
MLM563338303,Moto G4 Plus 32gb,4900,0
MLM564449205,Motorola G4 Plus,4800,1
MLM613455552,Motorola Moto G4 Plus Turbo Cargador 32 Gb 16 Mpx Enfo Láser,4749,0
MLM575330202,Motorola Moto G4 Plus,4600,0
MLM572819054,Moto G4 Plus Dual Sim,4600,0
MLM620367837,Smartphone Motorola Moto G4 Plus 32gb Negro Desbloqueado,4599,0
MLM615966802,Moto G 4 Plus 32 Gb,4550,0
MLM570255035,Moto G4 Plus Cambio O Venta,4500,0
MLM590058028,Moto G4 Plus En Perfectas Condiciones Cambio,4500,0
MLM581877404,Cel Moto G 4 Plus Nuevo,4500,0
MLM564385657,Moto G4 Plus De 32gb Con Huella Dactilar Doble Sim,4500,0
MLM563846653,Moto G 4 Generacion,4500,0
MLM576594188,Moto G4 Plus Liberado,4500,0
MLM573580938,Motorola Moto G4 Plus,4500,0
MLM613455706,Motorola Moto G4 Plus 32 Gb 16 Mpx 10% Off De 4999 A 4499,4499,4
MLM606321500,Moto G4 Plus,4499,0
MLM574705102,"Moto G 4 Plus Dual Sim, Mercadopago, Negro, Liberado",4499,1
MLM572100009,Motorola G4 Plus Dual Sim - 32 Gb Como Nuevo.,4400,0
MLM620516189,"Nuevo Motorola Moto G4 Plus,16mp, Huella, 32gb, + Msi",4397,0
MLM596473152,"Moto G4 Plus De 16gb,  Segunda Mano",4299,0
MLM570100300, Motog4 Plus,4200,0
MLM608386471,Motorola Moto G4 Play 4g Lte 16gb Camara 16mpx Negro Pi,4199,0
MLM565572962,Moto G4 Plus Dual Sim Liberado 32gb,4000,0
MLM590519522,Motorola Moto G4 Plus + Liberado Para Todas Las Compañias,4000,0
MLM577887709,Paquete Moto G4 Con Turbocargador,3999,0
MLM612804831,Motorola Moto G4 16gb Negro,3999,0
MLM576457944,Moto G4 Plus Nuevo Oferta Negociable,3990,1
MLM573585080,Moto G4 Plus ,3900,0
MLM568736723,Moto G4 Dual Sim Libre,3900,0
MLM598875287,Telefono Moto G4 Plus ,3900,0
MLM605474133,Moto G4 Plus Dual Sim,3899,0
MLM588133298,Moto G4 Plus,3800,0
MLM573207200,Moto G 4 Plus Huella Sin Detalles Liberado,3800,0
MLM608324924,Moto G4 Plus Usado No Liberado ,3700,0
MLM597022921,Moto G4 Plus 32gb Venta (oferta Hasta 22/12/17,3700,0
MLM569510395,Celular Moto G4 16gb Dual 2gb Ram 13mp+manos Libres Regalo,3699,31
MLM590899981,Motog4 Plus Huella Liberado 100 Funcional Y Estética De 10,3650,0
MLM617625948,Moto G4 Plus Dual Sim Libre De Fabrica,3610,0
MLM573501095,Moto G4 Plus Negro,3600,0
MLM587145368,"Moto G4 Plus, At&t, Estetica De 9, Incluye Cargador.",3600,0
MLM563505402,V/c Moto G4 Plus Dual Sim 32gb Blanco Libre Seminuevo,3599,0
MLM611552465,Moto G4 Plus,3599,0
MLM612574642,Moto G4 Plus Negro Envío Gratis,3583,0
