id,title,price,sold_quantity
MLM606353526,Mouse Logitech Bluetooth M535,499,0
MLM586611318,Mouse Logitech M535 Bluetooth Inalámbrico Azul ,549,3
MLM575371372,Raton Logitech M535 Bluetooth Negro,549,1
MLM622925324,Logitech M535 Mouse Inalambrico Bluetooth Negro,557.94,0
MLM555668755,Mouse Logitech M535 Negro Inalambrico Bluetooth (910-004432),559,0
MLM583140149,Mouse Logitech M535 Optico Bluetooth Negro Pc Mac,575,4
MLM572346947,Mouse Bluetooth Logitech M535 Negro,599,1
MLM586685140, mouse Logitech M535 Negro Inalambrico Bluetooth,599,0
MLM613380252,Mouse Inalambrico Logitech M535 Conexion Bluetooth Color Neg,599,0
MLM590770308,"Mouse Logitech M535 - Azul, 4 Botones, Bluetooth",614.9,0
MLM590770852,"Mouse Logitech Bluetooth M535 - Negro, 4 Botones, Bluetooth,",614.9,0
MLM609641854,Mouse Logitech M535 Azul Optico Inalambrico Bluetoot Ms-1071,618.33,0
MLM615000018,Mouse Logitech M535 Negro Optico Inalambrico Bluetoo Ms-1072,618.33,0
MLM614808500,Mouse Logitech M535 Negro Optico Inalambrico Bluetoo Ms-1072,618.33,0
MLM590788230,"Mouse Logitech M535 - Azul, 4 Botones, Bluetooth",621.5,0
MLM590788618,"Mouse Logitech Bluetooth M535 - Negro, 4 Botones, Bluetooth,",621.5,0
MLM591387101,Mouse Logitech M535 Negro Optico Inalambrico Bluetooth Pc/ma,622.6,0
MLM590821731,Mouse Logitech M535 Negro Optico Inalambrico Bluetooth Pc/ma,634.7,0
MLM590705939,Mouse Logitech M535 Negro Optico Inalambrico Bluetooth Pc/ma,634.7,0
MLM592759649,Logitech Mouse Inalambrico Bluetooth Optico Ergonomico M535,638.9,2
MLM588981367,Mouse Inalámbrico Logitech M535 - Bluetooth - Azul  ,639,0
MLM591093266,Mouse Logitech M535 Negro Optico Inalambrico Bluetooth Pc/ma,647.13,0
MLM616490766,Mouse Logitech M535 Bluetooth,650,0
MLM620651056,Mouse Logitech M535 Inalambrico Blutooth Azul,650,0
MLM601796536,Mouse Logitech M535 Negro Inalambrico Bluetooth (910-004432),655.99,0
