title,price,sold_quantity
Samsung Galaxy Note 8 Dual Sim 256gb 4g Lte Nuevos Libres,22999,19
Samsung Galaxy Note 8 128gb  Lte Octa Core Libre Sellada Msi,17399,58
Samsung Galaxy Note 8 Nueva 64gb Meses Sin Intereses,15449,108
Samsung Galaxy Note 8 64gb 6gb Ram 4g Lte Nuevo Sellado ,15499,36
Samsung Galaxy Note 8 64gb Negociable!!!,15500,1
Samsung Galaxy Note 8 64gb Exynos Octa Core N950fd Dual Sim,15699,45
Samsung Galaxy Note 8 Dual Sim 64gb 4g Lte Meses Sin Interés,16999,41
Samsung Galaxy Note 8  Octacore 64gb 6gb Ram Nuevo / A Meses,16499,20
Samsung Galaxy Note 8 Nueva 64gb,14349,3
Samsung Galaxy Note 8 64gb 4g Lte Octa Core Libre De Fábrica,15799,45
Samsung Galaxy Note 8 Dual Sim 64gb 4g Lte Libre De Fábrica,15999,34
Samsung Galaxy Note 8 Dual Sim 64gb 4g Lte Libre De Fabrica,17799,30
Samsung Galaxy Note 8 64gb 4g Lte Libre Meses Sin Intereses,16899,13
Samsung Note 8 Nuevas Desbloqueadas Originales Garantía,14599,2
Samsung Galaxy Note 8 64gb Dual Sim Nuevo Original + Cupon,16397,9
Samsung Galaxy Note 8 Dual Sim 256gb 4g Lte Libre De Fabrica,21999,17
Galaxy Note 8 Samsung Nuevos Y Originales,14999,182
Samsung Galaxy Note 8 64gb Unlocked Smartphone,13699,2
Samsung Galaxy Note 8 Smn9500 Dual Sim 64gb 6gb Ram 12+12mpx,16999,56
Samsung Galaxy Note 8 Dual Sim 128gb 4g Lte Libre De Fabrica,20999,10
Samsung Galaxy Note 8 Dual Sim 4g Lte 64gb Libres De Fabrica,16999,36
Samsung Galaxy Note 8 De 128gb | Negra Y Violeta | Libre,17149,5
Samsung Galaxy Note 8 64gb Exynos Octa Core N950fd Dual Msi,16799,11
"Note 8 128 Gb, Nuevo!!! Color Violeta!!! Sellada!!!",17200,3
Samsung Galaxy Note 8 Negro 64gb Ram 6gb 12mp 6.3  Octacr,14498,2
"Samsung Galaxy Note 8  64 Gb, Lte 4g, Liberado",16999,5
Samsung Galaxy Note 8 64gb 6gb Ram Octa 6.3 Pulg Iris Huella,15299,2
Samsung Galaxy Note 8 Lte 64gb Camara Dual 12mpx Libres ,16499,3
Celular Samsung Galaxy Note 8  2-sim 4g 64gb+6gb Ram N950u,16999,25
Samsung Galaxy Note 8 N950u 6.3 Ram 6gb 100% Nuevos,15799,9
Samsung Galaxy Note 8 128gb 4gb Ram Dual Cam Libre Sellado,16399,1
Smartphone Marca Samsung Modelo Galaxy Note 8 - Memoria 64gb,12999,1
Samsung Galaxy Note 8 N950u 6.3  Ram 6gb Nuevos En Caja,15799,2
Samsung Galaxy Note 8 | Libre | 128gb | Descuentos,17199,1
Samsung Galaxy Note 8 Dual Sim 64gb 6gb Ram Caja Sellada,17390,17
"Galaxy Note 8 , 64gb, Libre De Fabrica, Negro , Snapdragon!!",15499,1
Celular Samsung Galaxy Note 8 64gb Ram 6gb 12mp 6.3 Negro,14599,1
Samsung Galaxy Note 8 Dual Sim De 256gb Snapdrag 12+12mpx 4g,23499,2
Oferta! Samsung Galaxy Note 8 - 64gb Negro - Desbloqueado,15299,3
Samsung Note 8 64 Gb Nuevo Original Y Liberado ,14499,4
Samsung Note 8 At&t Iusacell  Msi + Envío Gratis,14000,2
"Samsung Note 8, Envio Gratis,con Garantia, Nuevo En Caja",13800,26
Galaxy Note 8 Nuevos Exynos 128gb,17999,0
"Samsung Note 8 64gb Midnigth Black, Orchid Gray Nuevos",14000,5
Note 8   Color Gris Orquidea,16000,1
Samsung Galaxy Note 8 128gb 6gb Ram,17989,0
Samsung Galaxy Note 8 64gb Midnigth Black Nuevos,14700,5
Samsung Note 8  Libre 4g Lte Liberada Estetica 9.9,12199,3
Samsung Galaxy Note 8 Nuevo 64gb Y 6gb Ram Liberado Nuevo,15899,0
Samsung Galaxy Note 8 64gb Nuevos,14200,2
Samsung Galaxy Note 8 64gb 4g Lte 12mpx Libres Nuevos,15999,0
Samsung Galaxy Note 8 128 Gb (entregas Personales),14500,1
Samsung Galaxy Note 8 Impecable Liberado 6 De Ram 64 Gb,13500,0
Samsung Galaxy Note 8 Gris,12999,0
Samsung Galaxy Note 8 Negro 128 Gb Doble Camara Telcel,19499.99,0
Note 8   Gris  Orquidea Y Negro,19500,0
"Samsung Galaxy Note 8 Gris Orquidea, Caja Sellada Telcel",18989,0
Samsung Galaxy Note 8 Dual Sim N9500 4g 6gb 64gb Logo Samsun,15699,3
Galaxy Note 8 64gb Nuevo Original Garantía ,14500,0
Samsung Note 8. Nuevos Sellados Liberados,13999,2
Remato Galaxy Note 8 64gb Libre 4g Lte Ligero Detalle Telcel,12999,0
"Samsung Galaxy Note 8 Gris Orquidea, Caja Sellada Telcel",20889,0
Samsung Galaxy Note 8 De 64 Gb A Meses Sin Intereses,21990,4
Samsung Galaxy Note 8 128gb Gris Desbloqueado,19699,1
Samsung Galaxy Note 8 64gb 4g,15700,0
Samsung Note 8 ,14900,0
Samsung Galaxy Note 8,17900,0
Samsung Galaxy Note 8 De 64 Gb,20980,6
Samsung Note 8 De 64gb Libre Impecable Msi + Envio ,14500,0
Samsung Galaxy Note 8 64gb Midnigth Black,18299,0
Samsung Galaxy Note 8  12 Msi,14999,0
