id,title,price,sold_quantity
MLM622414458,Huawei G7 L03 Detalle,1450,0
MLM588739207,Huawei G7 Liberado Cambio,1500,0
MLM587475982,Huawei G7 Libre V/c,1500,0
MLM588645357,Huawei G7,1500,0
MLM623526407,Huawei Ascend G7 5.5 2gb Ram/16gb Rom Liberado Seminuevo,1599,124
MLM604747934,Huawei G7,1700,0
MLM613079411,Celular Hawei G7 Lliusacel Unefon Y T&t ,1700,0
MLM599398048,Huawei G7 Pantalla Lcd,1900,1
MLM611649520,Huawei G7-l03 Dorado Unefon Microplaza 0346,2099,0
MLM559773522,Huawey G7 Liberado,2100,0
MLM577827365,Huawei G7 Ascend Blanco,2100,0
MLM617682298,Telefono Celular Huawei Ascend G7 Dorado,2200,0
MLM611649804,Huawei G7-l03 Dorado Libre Microplaza 2892,2299,0
MLM611650715,Huawei G7-l03 Dorado Microplaza 2892,2299,0
MLM568447607,"A16 Huawei Ascend G7 16gb 4g Lte Cam. 13mpx, 5mpx",2300,0
MLM571073761,Huawei G7 Liberado V/c,2350,0
MLM573844409,Huawei Ascend G7 Libre 4g Lte,2400,0
MLM585775347,Huawei G7 Usado Liberado Venta O Cambio X Iphone5s O G Elite,2450,0
MLM567037383,Huawei G7 Ediciónamérica Negociable Usado En Prefecto Estado,2700,0
MLM572064264,Huawei G7,3000,0
MLM550457566,Huawei G Elite Plus 16 Gb 2 Gb 13 Mp Nuevo Sellado Msi,3099,331
MLM613365029,Huawei G Elite Plus Libre.nuevo. $3499 Con Envío.,3499,0
MLM598945823,Huawei G7 ,3566,0
MLM553751720,Huawei Ascend G7 16 Gb 4g Lte 13 Mpx Libre De Fabrica!!!!!!!,4000,0
MLM551079841,Huawei Ascend P6 Desbloqueado Smartphone (1280 * 720) 1.5ghz,5383.9,0
